query_idx,dataset,round,role,stance,stance_val
0,clamber,0,fact_finder,HOLD,2
0,clamber,0,facet_finder,HOLD,2
0,clamber,0,intent_finder,HOLD,2
0,clamber,1,fact_finder,HOLD,2
0,clamber,1,facet_finder,CONCEDE,0
0,clamber,1,intent_finder,UPDATE,1
0,clamber,2,fact_finder,HOLD,2
0,clamber,2,intent_finder,CONCEDE,0
0,clamber,0,fact_finder,HOLD,2
1,clamber,0,facet_finder,HOLD,2
1,clamber,0,intent_finder,HOLD,2
1,clamber,1,fact_finder,HOLD,2
1,clamber,1,facet_finder,HOLD,2
1,clamber,1,intent_finder,HOLD,2
1,clamber,2,fact_finder,CONCEDE,0
1,clamber,2,facet_finder,HOLD,2
1,clamber,2,intent_finder,HOLD,2
1,clamber,0,fact_finder,HOLD,2
2,clamber,0,facet_finder,HOLD,2
2,clamber,0,intent_finder,HOLD,2
2,clamber,1,fact_finder,UPDATE,1
2,clamber,1,facet_finder,HOLD,2
2,clamber,1,intent_finder,HOLD,2
2,clamber,2,fact_finder,CONCEDE,0
2,clamber,2,facet_finder,HOLD,2
2,clamber,2,intent_finder,HOLD,2
2,clamber,0,fact_finder,HOLD,2
3,clamber,0,facet_finder,HOLD,2
3,clamber,0,intent_finder,HOLD,2
3,clamber,1,fact_finder,HOLD,2
3,clamber,1,facet_finder,HOLD,2
3,clamber,1,intent_finder,HOLD,2
3,clamber,2,fact_finder,HOLD,2
3,clamber,2,facet_finder,HOLD,2
3,clamber,2,intent_finder,HOLD,2
3,clamber,0,fact_finder,HOLD,2
4,clamber,0,facet_finder,HOLD,2
4,clamber,0,intent_finder,HOLD,2
4,clamber,1,fact_finder,UPDATE,1
4,clamber,1,facet_finder,HOLD,2
4,clamber,1,intent_finder,HOLD,2
4,clamber,2,fact_finder,CONCEDE,0
4,clamber,2,facet_finder,HOLD,2
4,clamber,2,intent_finder,HOLD,2
4,clariq,0,fact_finder,HOLD,2
5,clariq,0,facet_finder,HOLD,2
5,clariq,0,intent_finder,HOLD,2
5,clariq,1,fact_finder,HOLD,2
5,clariq,1,facet_finder,UPDATE,1
5,clariq,1,intent_finder,HOLD,2
5,clariq,2,fact_finder,HOLD,2
5,clariq,2,facet_finder,UPDATE,1
5,clariq,2,intent_finder,HOLD,2
5,clariq,0,fact_finder,HOLD,2
6,clariq,0,facet_finder,HOLD,2
6,clariq,0,intent_finder,HOLD,2
6,clariq,1,fact_finder,HOLD,2
6,clariq,1,facet_finder,CONCEDE,0
6,clariq,1,intent_finder,UPDATE,1
6,clariq,2,fact_finder,UPDATE,1
6,clariq,2,intent_finder,UPDATE,1
6,clariq,0,fact_finder,HOLD,2
6,clariq,0,facet_finder,HOLD,2
7,clariq,0,intent_finder,HOLD,2
7,clariq,1,fact_finder,HOLD,2
7,clariq,1,facet_finder,UPDATE,1
7,clariq,1,intent_finder,UPDATE,1
7,clariq,2,fact_finder,HOLD,2
7,clariq,2,facet_finder,HOLD,2
7,clariq,2,intent_finder,UPDATE,1
7,clariq,0,fact_finder,HOLD,2
7,clariq,0,facet_finder,HOLD,2
8,clariq,0,intent_finder,HOLD,2
8,clariq,1,fact_finder,HOLD,2
8,clariq,1,facet_finder,HOLD,2
8,clariq,1,intent_finder,HOLD,2
8,clariq,2,fact_finder,HOLD,2
8,clariq,2,facet_finder,CONCEDE,0
8,clariq,2,intent_finder,HOLD,2
8,clariq,0,fact_finder,HOLD,2
8,clariq,0,facet_finder,HOLD,2
9,clariq,0,intent_finder,HOLD,2
9,clariq,1,fact_finder,HOLD,2
9,clariq,1,facet_finder,UPDATE,1
9,clariq,1,intent_finder,CONCEDE,0
9,clariq,2,fact_finder,HOLD,2
9,clariq,2,facet_finder,CONCEDE,0
9,qulac,0,fact_finder,HOLD,2
9,qulac,0,facet_finder,HOLD,2
9,qulac,0,intent_finder,HOLD,2
10,qulac,1,fact_finder,HOLD,2
10,qulac,1,facet_finder,CONCEDE,0
10,qulac,1,intent_finder,UPDATE,1
10,qulac,2,fact_finder,HOLD,2
10,qulac,2,intent_finder,HOLD,2
10,qulac,0,fact_finder,HOLD,2
10,qulac,0,facet_finder,HOLD,2
10,qulac,0,intent_finder,HOLD,2
10,qulac,1,fact_finder,HOLD,2
11,qulac,1,facet_finder,HOLD,2
11,qulac,1,intent_finder,HOLD,2
11,qulac,2,fact_finder,HOLD,2
11,qulac,2,facet_finder,HOLD,2
11,qulac,2,intent_finder,HOLD,2
11,qulac,0,fact_finder,HOLD,2
11,qulac,0,facet_finder,HOLD,2
11,qulac,0,intent_finder,HOLD,2
11,qulac,1,fact_finder,HOLD,2
12,qulac,1,facet_finder,HOLD,2
12,qulac,1,intent_finder,HOLD,2
12,qulac,2,fact_finder,HOLD,2
12,qulac,2,facet_finder,CONCEDE,0
12,qulac,2,intent_finder,HOLD,2
12,qulac,0,fact_finder,HOLD,2
12,qulac,0,facet_finder,HOLD,2
12,qulac,0,intent_finder,HOLD,2
12,qulac,1,fact_finder,HOLD,2
13,qulac,1,facet_finder,HOLD,2
13,qulac,1,intent_finder,HOLD,2
13,qulac,2,fact_finder,UPDATE,1
13,qulac,2,facet_finder,UPDATE,1
13,qulac,2,intent_finder,HOLD,2
13,qulac,0,fact_finder,HOLD,2
13,qulac,0,facet_finder,HOLD,2
13,qulac,0,intent_finder,HOLD,2
13,qulac,1,fact_finder,HOLD,2
14,qulac,1,facet_finder,UPDATE,1
14,qulac,1,intent_finder,HOLD,2
14,qulac,2,fact_finder,CONCEDE,0
14,qulac,2,facet_finder,UPDATE,1
14,qulac,2,intent_finder,HOLD,2
14,abgcoqa,0,fact_finder,HOLD,2
14,abgcoqa,0,facet_finder,HOLD,2
14,abgcoqa,0,intent_finder,HOLD,2
14,abgcoqa,1,fact_finder,HOLD,2
15,abgcoqa,1,facet_finder,HOLD,2
15,abgcoqa,1,intent_finder,HOLD,2
15,abgcoqa,2,fact_finder,HOLD,2
15,abgcoqa,2,facet_finder,HOLD,2
15,abgcoqa,2,intent_finder,HOLD,2
15,abgcoqa,0,fact_finder,HOLD,2
15,abgcoqa,0,facet_finder,HOLD,2
15,abgcoqa,0,intent_finder,HOLD,2
15,abgcoqa,1,fact_finder,HOLD,2
16,abgcoqa,1,facet_finder,CONCEDE,0
16,abgcoqa,1,intent_finder,UPDATE,1
16,abgcoqa,2,fact_finder,UPDATE,1
16,abgcoqa,2,intent_finder,UPDATE,1
16,abgcoqa,0,fact_finder,HOLD,2
16,abgcoqa,0,facet_finder,HOLD,2
16,abgcoqa,0,intent_finder,HOLD,2
16,abgcoqa,1,fact_finder,HOLD,2
16,abgcoqa,1,facet_finder,HOLD,2
17,abgcoqa,1,intent_finder,UPDATE,1
17,abgcoqa,2,fact_finder,UPDATE,1
17,abgcoqa,2,facet_finder,HOLD,2
17,abgcoqa,2,intent_finder,UPDATE,1
17,abgcoqa,0,fact_finder,HOLD,2
17,abgcoqa,0,facet_finder,HOLD,2
17,abgcoqa,0,intent_finder,HOLD,2
17,abgcoqa,1,fact_finder,CONCEDE,0
17,abgcoqa,1,facet_finder,HOLD,2
18,abgcoqa,1,intent_finder,CONCEDE,0
18,abgcoqa,0,fact_finder,HOLD,2
18,abgcoqa,0,facet_finder,HOLD,2
18,abgcoqa,0,intent_finder,HOLD,2
18,abgcoqa,1,fact_finder,HOLD,2
18,abgcoqa,1,facet_finder,HOLD,2
18,abgcoqa,1,intent_finder,UPDATE,1
18,abgcoqa,2,fact_finder,HOLD,2
18,abgcoqa,2,facet_finder,HOLD,2
19,abgcoqa,2,intent_finder,UPDATE,1
