Query,Gold,Variant,Generated,SemanticSimilarity
mothers day songs,are you looking for a playlist of mothers days songs,vanilla,"What specific type of ""mothers day songs"" are you referring to (e.g., a list, a particular genre, or a specific event)?",0.7830287
mothers day songs,are you looking for a playlist of mothers days songs,speech_act,"Which aspect of mothers' day songs: genre, artist, popularity, or cultural context is unspecified?",0.6917638
mothers day songs,are you looking for a playlist of mothers days songs,speech_act_surgical,"Which aspect of Mother's Day songs is being referred to: celebration, tradition, or cultural significance?",0.6226869
the secret garden,are you interested in educational reviews and essays about the secret garden for a homework assignment,vanilla,"Are you referring to the book ""The Secret Garden"" or the 2001 film adaptation?",0.5181273
the secret garden,are you interested in educational reviews and essays about the secret garden for a homework assignment,speech_act,"Which aspect of 'The Secret Garden' are you interested in—plot, characters, themes, or summary?",0.67467964
the secret garden,are you interested in educational reviews and essays about the secret garden for a homework assignment,speech_act_surgical,"Which aspect of 'The Secret Garden' is being referred to: plot, themes, or author?",0.63433933
civil right movement,would you like to know what happened during the civil rights movement,vanilla,Could you specify the context or area you're referring to when discussing the 'civil right movement'?,0.67801696
civil right movement,would you like to know what happened during the civil rights movement,speech_act,"Which aspect of the civil right movement is being referred to—history, location, reviews, or a particular event?",0.6387495
civil right movement,would you like to know what happened during the civil rights movement,speech_act_surgical,"Which specific aspect of the civil right movement is being referred to—historical context, key events, or ongoing efforts?",0.64565444
How to cook pork tenderlion,would you like to make a rub for pork tenderloin,vanilla,Which cut of pork are you referring to?,0.50124025
How to cook pork tenderlion,would you like to make a rub for pork tenderloin,speech_act,"Which specific aspect of pork tenderloin (e.g., cooking method, seasoning, recipe type) is desired?",0.58072376
How to cook pork tenderlion,would you like to make a rub for pork tenderloin,speech_act_surgical,"Which aspect of pork tenderloin: history, location, or reviews?",0.62330085
what is the best long term care insurance,are you interested in getting a quote for coverage,vanilla,What factors are most important to you when choosing long-term care insurance?,0.27168158
what is the best long term care insurance,are you interested in getting a quote for coverage,speech_act,"Which aspect of long-term care insurance—coverage types, providers, geographic location, or particular benefits—is being referred to?",0.3630433
what is the best long term care insurance,are you interested in getting a quote for coverage,speech_act_surgical,Which aspect of long-term care insurance is missing from the query?,0.38223177
Find me information about the Last Supper painting.,what aspect of the last supper painting are you interested in,vanilla,Which specific version of the Last Supper painting are you referring to?,0.8195965
Find me information about the Last Supper painting.,what aspect of the last supper painting are you interested in,speech_act,"Which aspect of the Last Supper painting—history, location, or reviews—is being referred to?",0.8829154
Find me information about the Last Supper painting.,what aspect of the last supper painting are you interested in,speech_act_surgical,"Which aspect of the Last Supper painting—style, subject, or historical context—is being referred to?",0.8662443
blue throated hummingbird,would you like to know where it originates from,vanilla,What specific information are you looking for regarding the blue throated hummingbird?,0.16192798
blue throated hummingbird,would you like to know where it originates from,speech_act,"Which aspect of the blue-throated hummingbird is the user interested in? (options: biology, habitat, behavior, conservation)",0.016475918
blue throated hummingbird,would you like to know where it originates from,speech_act_surgical,Which definition of 'blue-throated' is being used in the context of the hummingbird?,0.24113949
source of the nile,is there any specific information about the river that would interest you,vanilla,What specific location or tributary are you referring to when asking about the source of the Nile?,0.62800324
