ID,Variant,Judge,Score,Question
1,vanilla,qwen3.5:4b,55,"What specific type of ""mothers day songs"" are you referring to (e.g., a list, a particular genre, or a specific event)?"
1,vanilla,qwen2.5:7b,83,"What specific type of ""mothers day songs"" are you referring to (e.g., a list, a particular genre, or a specific event)?"
1,speech_act,qwen3.5:4b,65,"Which aspect of mothers' day songs: genre, artist, popularity, or cultural context is unspecified?"
1,speech_act,qwen2.5:7b,85,"Which aspect of mothers' day songs: genre, artist, popularity, or cultural context is unspecified?"
1,speech_act_surgical,qwen3.5:4b,85,"Which aspect of Mother's Day songs is being referred to: celebration, tradition, or cultural significance?"
1,speech_act_surgical,qwen2.5:7b,85,"Which aspect of Mother's Day songs is being referred to: celebration, tradition, or cultural significance?"
2,vanilla,qwen3.5:4b,25,"Are you referring to the book ""The Secret Garden"" or the 2001 film adaptation?"
2,vanilla,qwen2.5:7b,85,"Are you referring to the book ""The Secret Garden"" or the 2001 film adaptation?"
2,speech_act,qwen3.5:4b,75,"Which aspect of 'The Secret Garden' are you interested in—plot, characters, themes, or summary?"
2,speech_act,qwen2.5:7b,85,"Which aspect of 'The Secret Garden' are you interested in—plot, characters, themes, or summary?"
2,speech_act_surgical,qwen3.5:4b,55,"Which aspect of 'The Secret Garden' is being referred to: plot, themes, or author?"
2,speech_act_surgical,qwen2.5:7b,85,"Which aspect of 'The Secret Garden' is being referred to: plot, themes, or author?"
3,vanilla,qwen3.5:4b,65,Could you specify the context or area you're referring to when discussing the 'civil right movement'?
3,vanilla,qwen2.5:7b,85,Could you specify the context or area you're referring to when discussing the 'civil right movement'?
3,speech_act,qwen3.5:4b,10,"Which aspect of the civil right movement is being referred to—history, location, reviews, or a particular event?"
3,speech_act,qwen2.5:7b,85,"Which aspect of the civil right movement is being referred to—history, location, reviews, or a particular event?"
3,speech_act_surgical,qwen3.5:4b,85,"Which specific aspect of the civil right movement is being referred to—historical context, key events, or ongoing efforts?"
3,speech_act_surgical,qwen2.5:7b,85,"Which specific aspect of the civil right movement is being referred to—historical context, key events, or ongoing efforts?"
4,vanilla,qwen3.5:4b,0,Which cut of pork are you referring to?
4,vanilla,qwen2.5:7b,50,Which cut of pork are you referring to?
4,speech_act,qwen3.5:4b,85,"Which specific aspect of pork tenderloin (e.g., cooking method, seasoning, recipe type) is desired?"
4,speech_act,qwen2.5:7b,85,"Which specific aspect of pork tenderloin (e.g., cooking method, seasoning, recipe type) is desired?"
4,speech_act_surgical,qwen3.5:4b,15,"Which aspect of pork tenderloin: history, location, or reviews?"
4,speech_act_surgical,qwen2.5:7b,51,"Which aspect of pork tenderloin: history, location, or reviews?"
5,vanilla,qwen3.5:4b,85,What factors are most important to you when choosing long-term care insurance?
5,vanilla,qwen2.5:7b,85,What factors are most important to you when choosing long-term care insurance?
5,speech_act,qwen3.5:4b,92,"Which aspect of long-term care insurance—coverage types, providers, geographic location, or particular benefits—is being referred to?"
5,speech_act,qwen2.5:7b,85,"Which aspect of long-term care insurance—coverage types, providers, geographic location, or particular benefits—is being referred to?"
5,speech_act_surgical,qwen3.5:4b,0,Which aspect of long-term care insurance is missing from the query?
5,speech_act_surgical,qwen2.5:7b,85,Which aspect of long-term care insurance is missing from the query?
6,vanilla,qwen3.5:4b,85,Which specific version of the Last Supper painting are you referring to?
6,vanilla,qwen2.5:7b,51,Which specific version of the Last Supper painting are you referring to?
6,speech_act,qwen3.5:4b,20,"Which aspect of the Last Supper painting—history, location, or reviews—is being referred to?"
6,speech_act,qwen2.5:7b,85,"Which aspect of the Last Supper painting—history, location, or reviews—is being referred to?"
6,speech_act_surgical,qwen3.5:4b,95,"Which aspect of the Last Supper painting—style, subject, or historical context—is being referred to?"
6,speech_act_surgical,qwen2.5:7b,85,"Which aspect of the Last Supper painting—style, subject, or historical context—is being referred to?"
7,vanilla,qwen3.5:4b,85,What specific information are you looking for regarding the blue throated hummingbird?
7,vanilla,qwen2.5:7b,85,What specific information are you looking for regarding the blue throated hummingbird?
7,speech_act,qwen3.5:4b,20,"Which aspect of the blue-throated hummingbird is the user interested in? (options: biology, habitat, behavior, conservation)"
7,speech_act,qwen2.5:7b,85,"Which aspect of the blue-throated hummingbird is the user interested in? (options: biology, habitat, behavior, conservation)"
7,speech_act_surgical,qwen3.5:4b,10,Which definition of 'blue-throated' is being used in the context of the hummingbird?
7,speech_act_surgical,qwen2.5:7b,85,Which definition of 'blue-throated' is being used in the context of the hummingbird?
8,vanilla,qwen3.5:4b,20,Could you clarify what a 403b refers to in your context?
8,vanilla,qwen2.5:7b,85,Could you clarify what a 403b refers to in your context?
8,speech_act,qwen3.5:4b,85,"Which aspect of 403(b): history, location, or purpose is specifically unclear?"
8,speech_act,qwen2.5:7b,85,"Which aspect of 403(b): history, location, or purpose is specifically unclear?"
8,speech_act_surgical,qwen3.5:4b,5,"Which aspect of 403b: history, location, or reviews?"
8,speech_act_surgical,qwen2.5:7b,51,"Which aspect of 403b: history, location, or reviews?"
9,vanilla,qwen3.5:4b,55,What specific location or tributary are you referring to when asking about the source of the Nile?
9,vanilla,qwen2.5:7b,85,What specific location or tributary are you referring to when asking about the source of the Nile?
9,speech_act,qwen3.5:4b,85,"Which specific part of the Nile's source is being referred to—White Nile, Lake Victoria, or the exact location?"
9,speech_act,qwen2.5:7b,85,"Which specific part of the Nile's source is being referred to—White Nile, Lake Victoria, or the exact location?"
9,speech_act_surgical,qwen3.5:4b,55,Which specific location within the Ethiopian Highlands is being referred to as the source of the Nile River?
9,speech_act_surgical,qwen2.5:7b,85,Which specific location within the Ethiopian Highlands is being referred to as the source of the Nile River?
10,vanilla,qwen3.5:4b,85,"Could you clarify what aspect of weather stripping you're interested in? (e.g., materials, applications, manufacturers, or specific techniques)"
10,vanilla,qwen2.5:7b,85,"Could you clarify what aspect of weather stripping you're interested in? (e.g., materials, applications, manufacturers, or specific techniques)"
10,speech_act,qwen3.5:4b,85,"Which aspect of weather stripping: history, application, benefits, or types?"
10,speech_act,qwen2.5:7b,51,"Which aspect of weather stripping: history, application, benefits, or types?"
10,speech_act_surgical,qwen3.5:4b,35,"Which aspect of weather stripping: material, application, or purpose is missing?"
10,speech_act_surgical,qwen2.5:7b,85,"Which aspect of weather stripping: material, application, or purpose is missing?"
11,vanilla,qwen3.5:4b,95,What specific information would you like to know about Culpeper National Cemetery?
11,vanilla,qwen2.5:7b,85,What specific information would you like to know about Culpeper National Cemetery?
